Essay;Biomass;Repeticion;Weight [mg];C [%];N [%];H [%];S [%];C/N ratio;C/H ratio
0;0;0;21.34;45.94;0.69;4.475;0;66.2299;10.2658
0;0;1;19.71;46.22;0.71;4.441;0;64.7641;10.4076
0;0;2;21.17;46.37;0.72;4.547;0;64.3494;10.1961
1;0;0;21.13;46.58;0.86;4.587;0;54.327;10.1555
1;0;1;21.36;46.45;0.85;4.612;0;54.9159;10.0707
1;0;2;22.68;46.03;0.85;4.653;0;54.282;9.8928
2;0;0;20.44;46.51;1.02;4.581;0;45.7805;10.1523
2;0;1;20.33;46.47;1.01;4.553;0;45.8489;10.2054
2;0;2;20.85;46.49;1.04;4.574;0.009;44.6432;10.1638
3;0;0;20.76;45.76;1.19;4.51;0.019;38.4681;10.1478
3;0;1;20.55;46.32;1.17;4.597;0.001;39.7229;10.0762
3;0;2;20.48;45.45;1.13;4.46;0;40.1293;10.1916
4;0;0;20.84;46.62;1.43;4.661;0.031;32.579;10.0024
4;0;1;21.02;46.48;1.43;4.654;0.046;32.6112;9.9876
4;0;2;20.73;46.72;1.41;4.661;0.029;33.1584;10.0232
5;0;0;19.63;46.85;1.51;4.596;0.049;31.0316;10.1937
5;0;1;20.22;46.63;1.55;4.633;0.026;30.0522;10.064
5;0;2;20.14;46.43;1.57;4.593;0.042;29.6365;10.1075
6;0;0;21.79;47.05;2.35;4.807;0.138;19.9869;9.7887
6;0;1;21.12;47.08;2.32;4.756;0.136;20.3332;9.8983
6;0;2;19.27;47.08;2.31;4.651;0.112;20.4226;10.1241
