Biomass;Biomass;Repeats;m1;m2;m3
0;0;0;12.9306;13.9366;12.9571
0;0;1;21.6015;22.6099;21.6243
0;0;2;16.1639;17.1722;16.1897
1;0;0;22.0217;23.0276;22.0496
1;0;1;18.2831;19.286;18.3136
1;0;2;35.155;36.1554;35.1818
2;0;0;43.0672;44.0679;43.0982
2;0;1;13.5024;14.5094;13.5365
2;0;2;23.7839;24.7886;23.8171
3;0;0;15.0307;16.0398;15.0693
3;0;1;14.9515;15.9526;14.9902
3;0;2;22.8164;23.8171;22.8539
4;0;0;22.1498;23.1562;22.1913
4;0;1;16.2028;17.2052;16.2453
4;0;2;22.2554;23.259;22.2975
5;0;0;14.4501;15.4568;14.4978
5;0;1;14.5716;15.5731;14.6192
5;0;2;22.2872;23.2961;22.3334
6;0;0;19.6799;20.6813;19.7472
6;0;1;22.4079;23.4125;22.4746
6;0;2;22.7471;23.7563;22.8153
