Lengths;Surfaces;Repeats;day_0;day_1;day_2;day_3;day_4;day_5;day_6;day_7;day_8;day_9;day_10;day_11;day_12;day_13;day_14;day_15;day_16;day_17;day_18;day_19;day_20;day_21;day_22;day_23;day_24;day_25;day_26;day_27;day_28;day_29
0;0;0;3.6;2.9;2.2;1.6;1.4;1.1;1;0.8;0.8;0.8;0.8;0.8;0.7;0.8;0.8;0.9;0.8;0.8;0.8;0.8;0.9;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.8;0.9
0;0;1;3.5;2.8;2.1;1.8;1.7;1.6;1.5;1.6;1.4;1.5;1.1;1.1;1.2;1.2;1.2;1.4;1.1;1.1;1.1;1.2;1.3;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.4
0;0;2;3.2;2.9;2.3;2.3;2.1;1.9;1.7;1.6;1.5;1.5;1.5;1.3;1.2;1.2;1;1.1;1;1;1;1;1.1;1.1;1.1;1.1;1.1;1.1;1;0.9;0.8;1
0;1;0;3.1;2.4;1.8;1.2;1;0.9;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;1.2;1;0.9;0.9;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.8
0;1;1;2.8;2.1;1.5;0.9;0.8;0.7;0.6;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.7;0.8;0.8;0.7;0.7;0.7;0.7;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7
0;1;2;2.6;2.2;1.9;1.6;1.3;1.2;1.1;1;1;1;1;1;1;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9
0;2;0;1.9;1.9;1.7;1.7;1.6;1.4;1.3;1.2;1.1;0.99;0.86;0.87;0.75;0.82;0.9;0.88;0.86;0.85;0.8;0.8;0.76;0.76;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
0;2;1;1.8;1.8;1.5;1.1;0.9;0.8;0.9;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.6;0.6;0.7;0.5;0.5;0.5;0.5;0.6;0.7;0.7;0.6;0.6;0.6;0.6;0.7;0.6
0;2;2;1.7;1.6;1.3;1.25;1.11;0.85;0.9;0.86;0.7;0.6;0.59;0.5;0.6;0.7;0.6;0.61;0.6;0.59;0.5;0.54;0.5;0.55;0.6;0.6;0.5;0.5;0.5;0.5;0.5;0.5
1;0;0;7.1;6.2;4.9;3.9;3.4;3.1;2.9;2.4;2.2;2.3;2.2;2.1;1.8;2;2;2.2;2;1.9;1.8;1.9;2.1;2.1;2.1;2;2;2;1.9;2;2.1;2.3
